name,path,is_git,remote_url,branch,has_changes,last_modified,size_mb,action,notes
Devin,/Users/yp/Code/Devin,True,No remote URL,develop,False,2024-12-27 14:58:26,207.12629413604736,move ~/Code/AI_ML/,AI/ML project
openai-API,/Users/yp/Code/openai-API,True,https://github.com/Kouidersif/openai-API,sif,True,2024-01-22 00:38:01,0.37204456329345703,move ~/Code/AI_ML/,AI/ML project
yp-api,/Users/yp/Code/yp-api,False,,,False,2023-11-26 02:32:57,0.0,move ~/Code/Misc/,Uncategorized project
company_assets,/Users/yp/Code/company_assets,False,,,False,2024-01-05 01:56:36,0.43471813201904297,move ~/Code/Misc/,Uncategorized project
SuperAGI,/Users/yp/Code/SuperAGI,True,https://github.com/TransformerOptimus/SuperAGI.git,main,True,2025-01-03 14:21:04,69.82819557189941,move ~/Code/AI_ML/,AI/ML project
crewai,/Users/yp/Code/crewai,False,,,False,2025-01-02 18:01:05,137.12491416931152,move ~/Code/AI_ML/,AI/ML project
maker_bot,/Users/yp/Code/maker_bot,False,,,False,2023-11-19 01:05:46,132.98291397094727,move ~/Code/Misc/,Uncategorized project
fanduel-api,/Users/yp/Code/fanduel-api,True,https://github.com/RK-GEEKSDOBYTE/fanduel-api.git,master,True,2024-03-14 02:17:52,0.35218143463134766,move ~/Code/Misc/,Uncategorized project
tools,/Users/yp/Code/tools,False,,,False,2024-09-19 13:46:23,8948.346881866455,move ~/Code/DevTools/,Development tool
docker,/Users/yp/Code/docker,True,https://github.com/mattermost/docker,main,True,2024-03-14 02:17:52,0.18594074249267578,move ~/Code/DevTools/,Development tool
ebay-app,/Users/yp/Code/ebay-app,True,https://github.com/yogipatel5/ebay-gapps.git,main,True,2024-12-16 13:33:47,0.5532817840576172,keep,Active GitHub repository
roop-main,/Users/yp/Code/roop-main,False,,,False,2024-03-14 02:17:52,3.300386428833008,move ~/Code/AI_ML/,AI/ML project
VirtualBox VMs,/Users/yp/Code/VirtualBox VMs,False,,,False,2024-03-14 03:12:35,0.3199043273925781,move ~/Code/Misc/,Uncategorized project
app.wehandleship.com,/Users/yp/Code/app.wehandleship.com,True,https://github.com/fitlifegroup/app.wehandleship.com.git,update_move_stocks_view,True,2024-12-11 14:08:03,167.4979305267334,move ~/Code/Company/,Company project
google_suites,/Users/yp/Code/google_suites,True,https://github.com/yogipatel5/google-suites.git,fix/test-mocks,True,2025-01-02 17:36:05,378.0600595474243,keep,Active GitHub repository
.pytest_cache,/Users/yp/Code/.pytest_cache,False,,,False,2023-11-09 17:25:11,0.000560760498046875,keep,
config,/Users/yp/Code/config,False,,,False,2024-02-18 17:23:16,18.851975440979004,move ~/Code/DevTools/,Development tool
image-projects,/Users/yp/Code/image-projects,False,,,False,2023-11-17 03:50:28,114.74378204345703,move ~/Code/Misc/,Uncategorized project
plugin-vscode-notion,/Users/yp/Code/plugin-vscode-notion,True,https://github.com/neurosity/plugin-vscode-notion.git,master,True,2024-10-07 15:08:35,3.71781063079834,move ~/Code/Integrations/,Integration project
gapps,/Users/yp/Code/gapps,False,,,False,2024-11-23 16:35:18,2.0511369705200195,move ~/Code/Integrations/,Integration project
shipbreeze,/Users/yp/Code/shipbreeze,False,,,False,2024-12-04 16:28:28,0.007609367370605469,move ~/Code/Company/,Company project
claude,/Users/yp/Code/claude,False,,,False,2024-12-16 15:42:05,26.746909141540527,move ~/Code/AI_ML/,AI/ML project
face_similiar,/Users/yp/Code/face_similiar,False,,,False,2024-07-15 10:36:21,0.0040950775146484375,move ~/Code/Misc/,Uncategorized project
flavorgod,/Users/yp/Code/flavorgod,False,,,False,2024-09-12 17:49:17,81.83644390106201,move ~/Code/Company/,Company project
pegasus-htmx,/Users/yp/Code/pegasus-htmx,False,,,False,2024-02-18 17:16:38,20.341073989868164,move ~/Code/Templates/,Template/Boilerplate
praisonai,/Users/yp/Code/praisonai,False,,,False,2025-01-03 13:36:49,288.23102951049805,move ~/Code/AI_ML/,AI/ML project
Peyso_Django_v1.1.0,/Users/yp/Code/Peyso_Django_v1.1.0,False,,,False,2024-01-12 17:09:39,6.839114189147949,move ~/Code/Misc/,Uncategorized project
ebay_django,/Users/yp/Code/ebay_django,True,git@github.com:yogipatel5/ebay_django.git,develop,True,2024-12-27 10:44:49,245.2747049331665,move ~/Code/Integrations/,Integration project
flavorgod_company,/Users/yp/Code/flavorgod_company,True,git@github.com:yogipatel5/flavorgod_company.git,master,True,2024-11-09 13:20:49,445.65667629241943,move ~/Code/Company/,Company project
key,/Users/yp/Code/key,False,,,False,2023-12-19 00:16:39,0.0035610198974609375,move ~/Code/Misc/,Uncategorized project
trysaas,/Users/yp/Code/trysaas,False,,,False,2024-01-23 13:38:14,0.0,move ~/Code/Misc/,Uncategorized project
docs,/Users/yp/Code/docs,True,https://github.com/yogipatel5/docs,main,False,2024-12-27 13:33:38,0.42311954498291016,keep,Active GitHub repository
